what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1341083982524
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1341083982525
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1341083982526
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1341083982527
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1341083982528
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1341083982528
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1341083982529
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1341083982529
os,sysinfo,,,"linux",1341083982535
arch,sysinfo,,,"x86_64",1341083982535
ws,sysinfo,,,"gtk",1341083982535
locale,sysinfo,,,"en_US",1341083982535
processors,sysinfo,,,"2",1341083982535
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341083982535
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1341083982535
java.specification.name,sysinfo,,,"Java Platform API Specification",1341083982535
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341083982535
java.specification.version,sysinfo,,,"1.6",1341083982535
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341083982535
java.version,sysinfo,,,"1.6.0_24",1341083982535
java.vm.info,sysinfo,,,"mixed mode",1341083982535
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341083982535
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341083982535
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341083982535
java.vm.specification.version,sysinfo,,,"1.0",1341083982535
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341083982535
java.vm.version,sysinfo,,,"19.1-b02",1341083982535
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1341083982714
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1341083983199
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1341083983580
error,log,,,"(Build 2.0.0.1278523018) [ERROR] Connection to AptanaDB is null.",1341083983581
error,log,,,"(Build 2.0.0.1278523018) [ERROR] SQLException: Connection to AptanaDB is null.",1341083983581
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Error initializing DB connection ",1341083983582
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1341083986684
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1341083986695
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1341083986713
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1341083986786
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1341083986804
